epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.39308,1.73401,0.16036,0.72681,2.22035,1.71936,0.86346,0.92929,0.93476,0.67844,0.87658,0.93939,0.96351,0.95808,0.94953,0.13773,0.74034,1.45208,1.06386,0.0002,0.0002,0.0002
2,5.2458,1.10776,0.13294,0.52722,0.77771,1.20032,0.93275,0.9899,0.97548,0.72417,0.9495,0.9899,0.98905,0.98583,0.92293,0.12043,0.52398,0.98514,1.09327,0.000415842,0.000415842,0.000415842
3,7.11577,1.06231,0.06545,0.40297,0.71191,1.16114,0.63508,0.87895,0.75298,0.40578,0.69039,0.94949,0.82152,0.82146,1.53991,0.06797,0.33223,2.40588,1.62391,0.000627328,0.000627328,0.000627328
4,8.96979,1.09625,0.06186,0.32347,0.72677,1.16389,0.83438,0.86869,0.91597,0.51646,0.83589,0.89899,0.95359,0.95147,1.39613,0.067,0.15881,1.35043,1.43836,0.000834458,0.000834458,0.000834458
5,10.8097,1.16717,0.04854,0.29264,0.75683,1.1982,0.69984,0.66667,0.69749,0.35258,0.64929,0.79798,0.78423,0.77946,1.86671,0.05739,0.3053,1.57113,1.76335,0.00103723,0.00103723,0.00103723
6,12.6331,1.09904,0.04946,0.3035,0.72118,1.16527,0.86832,0.93252,0.95589,0.50095,0.87708,0.93939,0.97111,0.96903,1.65828,0.04195,0.21871,1.02801,1.60508,0.00123565,0.00123565,0.00123565
7,14.4418,1.04553,0.04,0.24609,0.67383,1.12805,0.84919,0.79629,0.86944,0.47487,0.88151,0.8266,0.91613,0.90902,1.48882,0.05037,0.03258,0.97682,1.55904,0.00142971,0.00142971,0.00142971
8,16.2636,1.09205,0.03597,0.2509,0.71063,1.16995,0.82972,0.88889,0.93599,0.60207,0.83915,0.89899,0.94482,0.94407,1.2832,0.03282,0.02617,0.83889,1.42976,0.00161942,0.00161942,0.00161942
9,18.081,1.1051,0.0419,0.27795,0.70703,1.16424,0.85886,0.93939,0.96155,0.70069,0.8794,0.9596,0.97447,0.97409,1.00095,0.04566,0.00582,1.13334,1.14824,0.00180477,0.00180477,0.00180477
10,19.9072,1.09635,0.0382,0.24522,0.73454,1.15936,0.83201,0.86869,0.90743,0.57766,0.84168,0.87879,0.91956,0.91611,1.16047,0.05979,0.01104,0.84559,1.36183,0.0018218,0.0018218,0.0018218
11,21.7312,1.08315,0.03987,0.21853,0.68983,1.16189,0.85602,0.92929,0.90991,0.63967,0.86533,0.93939,0.92904,0.92656,1.03333,0.04532,0.03201,0.93054,1.1391,0.001802,0.001802,0.001802
12,23.5891,1.03805,0.03139,0.22241,0.68504,1.13904,0.83933,0.78788,0.87974,0.62792,0.84966,0.92929,0.95456,0.9424,1.09877,0.0506,0.00294,1.27972,1.25225,0.0017822,0.0017822,0.0017822
13,25.4266,1.0766,0.02786,0.20222,0.68956,1.16201,0.89457,0.81818,0.90702,0.54033,0.90288,0.82828,0.93599,0.93269,1.26852,0.05363,0.00269,1.16454,1.39796,0.0017624,0.0017624,0.0017624
14,27.2789,1.05549,0.02884,0.22772,0.68484,1.1457,0.73448,0.87879,0.83304,0.48564,0.76215,0.91919,0.87271,0.87055,1.16993,0.07246,0.00236,0.97717,1.31203,0.0017426,0.0017426,0.0017426
